"adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","Platform_ORF","GO.Function","GO.Function.ID","GO.Process","GO.Process.ID","GO.Component","GO.Component.ID","Chromosome.annotation","ID","Entrez.ID","Standard.Error","Probablity"
0.164241610989211,2.77328625153063e-05,13.6590138904022,1.16159021374487,2.87259004440486,"shiF","shiF protein","c3628",NA,NA,NA,NA,NA,NA,"NC_004431.1 (3469278..3470471)","1765944_at","1039583",0.272394186145648,0.76162154487742
0.164241610989211,3.21789990182623e-05,13.2659074825916,1.11834463338477,3.85685410034789,"c2411","DNA-binding protein H-NS","c2411",NA,NA,NA,NA,NA,NA,"NC_004431.1 (2213329..2213733)","1763967_at","1037311",0.376564847396646,0.753681533856198
0.197827566587034,5.81389792085718e-05,-11.8057162221444,0.9273098798229,-3.14712293682419,"c5299","oxidoreductase","c5299","molecular_function","GO:0003674","unsaturated fatty acid biosynthetic process","GO:0006636","cytosol","GO:0005829","NC_004431.1 (5038303..5040375, complement)","1769212_at","1037432",0.345274812506388,0.716529199867616
0.216873590452381,0.00010969857289011,10.4068440409677,0.685907285107591,2.47582806274101,"Z4066///ECs3611","hypothetical protein///hypothetical protein","Z4066",NA,NA,NA,NA,NA,NA,"NC_002655.2 (3667671..3668417, complement)///NC_002695.1 (3600373..3601119, complement)","1765254_s_at","958216",0.308137790883413,0.665055864373211
0.216873590452381,0.00013849565339714,9.93294547776032,0.58720160766627,3.0887433936996,"rhaB","rhamnulokinase","c4853","ATP binding///rhamnulokinase activity","GO:0005524///GO:0008993","rhamnose catabolic process///rhamnose catabolic process///rhamnose catabolic process","GO:0019301///GO:0019301///GO:0019301","cytosol","GO:0005829","NC_004431.1 (4615636..4617105, complement)","1761267_at","1040218",0.402760904542528,0.642722807267886
0.216873590452381,0.0001432816452344,-9.86555258046628,0.572349319229038,-3.61151425599372,"Z0326///ECs0291","hypothetical protein///hypothetical protein","Z0326",NA,NA,NA,NA,NA,NA,"NC_002655.2 (312381..312998)///NC_002695.1 (312380..312997)","1766038_s_at","957100",0.47414529742537,0.639305091386969
0.216873590452381,0.00014871817527102,9.79215751037754,0.555930928535152,4.01659499464751,"ECs5592","hypothetical protein","ECs5592",NA,NA,NA,NA,NA,NA,"NC_002695.1 (5391319..5391504)","1762361_at","2693751",0.53127965073252,0.635510513914031
0.258286732932517,0.00020603651063072,9.17052230868511,0.405997844693073,2.39297704906015,"Z2396///ECs1945","replication protein///replication protein","Z2396",NA,NA,NA,NA,NA,NA,"NC_002655.2 (2155159..2155905, complement)///NC_002695.1 (1931260..1932006)","1763568_s_at","961138",0.337977657282159,0.600127849966319
0.258286732932517,0.00022772145340837,8.98698102496232,0.357714396976644,2.811911384348,"ybiB///ECs0878","glycosyl transferase///glycosyl transferase family protein","Z1021","DNA binding///RNA binding","GO:0003677///GO:0003723","tryptophan biosynthetic process","GO:0000162","cytosol///cytosol","GO:0005829///GO:0005829","NC_002655.2 (961341..962303)///NC_002695.1 (959688..960650)","1763268_s_at","958029",0.405257755663771,0.588487041637613
0.262602740462022,0.0002611721944736,8.74093928185316,0.289843732291453,6.09896707810152,"gnsB","Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts)","b1550",NA,NA,NA,NA,NA,NA,"NC_000913.3 (1637609..1637782, complement)","1765336_s_at","946054",0.903736276052687,0.571957875578823
