"","adj.P.Val","P.Value","t","B","logFC","Platform.ORF","Gene.title","Chromosome.annotation","Entrez.ID","Standard.Error","Probablity","GO.Function","GO.Function.ID","GO.Component","GO.Component.ID","GO.Process","GO.Process.ID","Entrez.id","GO.Component.ID","GO.Component","GO.Process.ID","GO.Process","GO.Function.ID","GO.Function","Gene.symbol"
"A_12_P105082",0.0617702111325642,8.59605392497975e-05,17.4177675263196,1.68685366657204,6.7104732578753,"W02D9.6","hypothetical protein","chrI:12560464-12560405",189121,0.555194388120689,0.843809938145068,NA,NA,NA,NA,NA,NA,189121,"","","","","","","W02D9.6"
"A_12_P131564",0.0617702111325642,0.000105216785942359,16.5136630272483,1.59112673686801,6.22999009444686,"ZK813.3","hypothetical protein","chrX:3442221-3442280",180634,0.543661207383579,0.830774567999879,NA,NA,NA,NA,NA,NA,180634,"GO:0042600","egg chorion","GO:0007275","multicellular organism development","","","ZK813.3"
"A_12_P110178",0.0617702111325642,0.00011577097881993,16.1022415635611,1.54366123873701,6.25840921940524,"clec-59","C-type LECtin","chrII:10478040-10477981",191383,0.560095427047437,0.82399633142335,NA,NA,NA,NA,NA,NA,191383,"","","","","GO:0030246","carbohydrate binding","clec-59"
"A_12_P111001",0.0617702111325642,0.000118008198255445,16.0210734953973,1.53398585618582,6.12402365742408,"scl-27","SCP-Like extracellular protein","chrV:401530-401589",191204,0.5508453078601,0.822588744236325,NA,NA,NA,NA,NA,NA,191204,"GO:0005615","extracellular space","","","","","scl-27"
"A_12_P153285",0.0617702111325642,0.000118075797774385,16.018651111078,1.53369548472364,6.04222910672427,"spp-9","SaPosin-like Protein family","chrX:11488021-11488080",188888,0.543570217619946,0.822546364471389,NA,NA,NA,NA,NA,NA,188888,"","","","","","","spp-9"
"A_12_P103439",0.0617702111325642,0.000121461106523485,15.8995245774777,1.51929870418318,6.08375954252206,"clec-127","C-type LECtin","chrII:3568196-3568137",189338,0.551407043683714,0.820435188004194,NA,NA,NA,NA,NA,NA,189338,"","","","","GO:0030246","carbohydrate binding","clec-127"
"A_12_P107514",0.0617702111325642,0.000134557668162554,15.4751755021479,1.4660922901275,6.0295148029699,"nlp-39","Neuropeptide-Like Protein","chrI:12461805-12461864",183774,0.561475990741813,0.812462706647606,NA,NA,NA,NA,NA,NA,183774,"","","GO:0007218","neuropeptide signaling pathway","","","nlp-39"
"A_12_P109378",0.0617702111325642,0.000153527633411371,14.9448435554224,1.39511237250384,5.71285481759033,"F35E8.7","hypothetical protein","chrV:15915050-15915109",185298,0.550866321555237,0.801407150223417,NA,NA,NA,NA,NA,NA,185298,"","","","","","","F35E8.7"
"A_12_P152123",0.0617702111325642,0.000158965554136892,14.8078562305979,1.37591664726393,5.89865049657839,"T04C12.1","hypothetical protein","chrV:11058697-11058638",179531,0.57404360424785,0.798334395180333,NA,NA,NA,NA,NA,NA,179531,"GO:0016020///GO:0016021","membrane///integral component of membrane","","","","","T04C12.1"
"A_12_P154345",0.0617702111325642,0.00016105519873261,14.7567738303481,1.36866430492949,5.52512071197724,"F54F7.9","hypothetical protein","chrX:11847956-11847897",6418854,0.539553801988121,0.797164266215333,NA,NA,NA,NA,NA,NA,6418854,"","","","","","","F54F7.9"
"A_12_P113864",0.0617702111325642,0.000163060841912783,14.7085224463357,1.36176621243975,5.63679246545699,"clec-18","C-type LECtin","chrI:12301502-12301443",186419,0.552264853283872,0.796046603567393,NA,NA,NA,NA,NA,NA,186419,"","","","","GO:0030246","carbohydrate binding","clec-18"
"A_12_P109509",0.0617702111325642,0.000164184115167308,14.6818236775406,1.35792926418573,5.49799053062604,"scl-19","SCP-Like extracellular protein","chrV:18732507-18732565",191308,0.539645289925276,0.795422942768377,NA,NA,NA,NA,NA,NA,191308,"GO:0005615","extracellular space","","","","","scl-19"
"A_12_P147410",0.0617702111325642,0.000170226197771936,14.5420475427238,1.33760560987874,5.58994533792058,"T27A3.8","hypothetical protein","chrI:6105362-6105421",3896723,0.553944695973304,0.792095909094495,NA,NA,NA,NA,NA,NA,3896723,"GO:0016020///GO:0016021","membrane///integral component of membrane","","","","","T27A3.8"
"A_12_P111375",0.0617702111325642,0.000187246530207659,14.1796295923639,1.28300534066266,5.59554411105673,"clec-128","C-type LECtin","chrII:3569484-3569425",189339,0.568671999781035,0.782960917622533,NA,NA,NA,NA,NA,NA,189339,"","","","","GO:0030246","carbohydrate binding","clec-128"
"A_12_P151126",0.0617702111325642,0.000189243417449894,14.1398331608821,1.27683696843219,5.51955057935705,"ttr-42","TransThyretin-Related family domain","chrX:2578120-2578179",6418853,0.562527605248712,0.781910877470285,NA,NA,NA,NA,NA,NA,6418853,"","","","","","","ttr-42"
"A_12_P118166",0.0617702111325642,0.000203192279771579,13.8758087179661,1.23501324185798,5.28508363920344,"F35E8.6","hypothetical protein","chrV:15912971-15913030",185297,0.548880709517429,0.774694804193835,NA,NA,NA,NA,NA,NA,185297,"","","","","","","F35E8.6"
"A_12_P116217",0.0617702111325642,0.000206236765543519,13.8212031246239,1.22616378464294,5.32952902118821,"W02D9.7","hypothetical protein","chrI:12559423-12559364",173126,0.555683356422318,0.773146441657119,NA,NA,NA,NA,NA,NA,173126,"","","","","","","W02D9.7"
"A_12_P118220",0.0617702111325642,0.000237210429293857,13.3175214963486,1.14115145427637,5.10435880483977,"ZK813.1","hypothetical protein","chrX:3446744-3446803",180636,0.552334531680921,0.757890984663841,NA,NA,NA,NA,NA,NA,180636,"GO:0042600","egg chorion","GO:0007275","multicellular organism development","","","ZK813.1"
"A_12_P107510",0.0617702111325642,0.000255439962596776,13.058216623111,1.09488453365187,5.04504205166927,"Y62H9A.3","hypothetical protein","chrX:11879174-11879115",181363,0.556756542413666,0.749300394755367,NA,NA,NA,NA,NA,NA,181363,"","","","","","","Y62H9A.3"
"A_12_P108739",0.0617702111325642,0.000266909050370272,12.9067031726934,1.06701948238764,4.85521607520433,"C40H1.7","hypothetical protein","chrIII:9326809-9326868",176311,0.542097803406869,0.744029690690961,NA,NA,NA,NA,NA,NA,176311,"","","GO:0006629","lipid metabolic process","","","C40H1.7"
"A_12_P100708",0.0617702111325642,0.000274269351146044,12.8137120483019,1.04960443619298,4.96989253910214,"bath-25","BTB and MATH domain containing","chrI:10879501-10879560",188993,0.558928745168737,0.740698932839618,NA,NA,NA,NA,NA,NA,188993,"","","","","","","bath-25"
"A_12_P112479",0.0617702111325642,0.000302089957749168,12.4886215651863,0.98678595313604,4.87404743289253,"T09A12.2","hypothetical protein","chrIV:8223249-8223361",188313,0.562418571597516,0.72845262068911,NA,NA,NA,NA,NA,NA,188313,"GO:0005615","extracellular space","GO:0006979///GO:0098869","response to oxidative stress///cellular oxidant detoxification","GO:0004601///GO:0004602///GO:0016491","peroxidase activity///glutathione peroxidase activity///oxidoreductase activity","T09A12.2"
"A_12_P101356",0.0617702111325642,0.000318865120633861,12.3102456722771,0.95099037472945,4.70642987932946,"T22B7.7","hypothetical protein","chrX:5652054-5651995",180832,0.550946311477124,0.721314306758392,NA,NA,NA,NA,NA,NA,180832,"GO:0005739","mitochondrion","GO:0006637","acyl-CoA metabolic process","GO:0047617","acyl-CoA hydrolase activity","T22B7.7"
"A_12_P165700",0.0617702111325642,0.000322452782627442,12.273623431855,0.943520923881007,4.7105504638897,"C10A4.9","hypothetical protein","chrX:7421690-7421749",6418834,0.55307403928775,0.719810318671401,NA,NA,NA,NA,NA,NA,6418834,"GO:0016020///GO:0016021","membrane///integral component of membrane","","","","","C10A4.9"
"A_12_P108055",0.0617702111325642,0.000323577763543177,12.2622450362794,0.941191732193325,5.15991147662475,"F43H9.4","hypothetical protein","chrV:8028622-8028681",179182,0.60639647487912,0.719340318898958,NA,NA,NA,NA,NA,NA,179182,"GO:0005739","mitochondrion","","","GO:0016410///GO:0047961","N-acyltransferase activity///glycine N-acyltransferase activity","F43H9.4"
"A_12_P154146",0.0617702111325642,0.000340643905532434,12.0954946657572,0.906591128482921,4.66292357081603,"F22G12.1","hypothetical protein","chrI:13141658-13141717",184866,0.55554477868704,0.712302096017794,NA,NA,NA,NA,NA,NA,184866,"","","","","","","F22G12.1"
"A_12_P119922",0.0617702111325642,0.000355550567882474,11.9582036975624,0.877435046069442,4.63222253490953,"K07A1.6","hypothetical protein","chrI:9592071-9592012",172797,0.558223191579854,0.706290417796669,NA,NA,NA,NA,NA,NA,172797,"GO:0005576","extracellular region","GO:0010466///GO:0010951","negative regulation of peptidase activity///negative regulation of endopeptidase activity","GO:0004867///GO:0030414","serine-type endopeptidase inhibitor activity///peptidase inhibitor activity","K07A1.6"
"A_12_P111344",0.0617702111325642,0.000370806442520858,11.8249813865162,0.848550116730482,4.57131616483461,"clec-131","C-type LECtin","chrII:3574787-3574728",189340,0.557089792442546,0.700262907952102,NA,NA,NA,NA,NA,NA,189340,"","","","","","","clec-131"
"A_12_P146947",0.0617702111325642,0.000374276407936888,11.7956382968869,0.842108060872842,4.55384573576271,"Y54G2A.49","hypothetical protein","chrIV:2851818-2851759",3896806,0.556341266889075,0.698909012149063,NA,NA,NA,NA,NA,NA,3896806,"GO:0016020///GO:0016021","membrane///integral component of membrane","","","","","Y54G2A.49"
"A_12_P102074",0.0617702111325642,0.000375737432386103,11.7833853799705,0.839409387258612,4.58070742552123,"nhr-38","Nuclear Hormone Receptor family","chrIV:9712210-9712269",191720,0.560204869530809,0.698340811554292,NA,NA,NA,NA,NA,NA,191720,"GO:0005634///GO:0090575","nucleus///RNA polymerase II transcription regulator complex","GO:0006355///GO:0006357///GO:0009755///GO:0009888///GO:0030522","regulation of transcription, DNA-templated///regulation of transcription by RNA polymerase II///hormone-mediated signaling pathway///tissue development///intracellular receptor signaling pathway","GO:0000978///GO:0003677///GO:0003700///GO:0004879///GO:0008270///GO:0043565///GO:0046872","RNA polymerase II cis-regulatory region sequence-specific DNA binding///DNA binding///DNA-binding transcription factor activity///nuclear receptor activity///zinc ion binding///sequence-specific DNA binding///metal ion binding","nhr-38"
"A_12_P149229",0.0617702111325642,0.000383619730921974,11.7182961977083,0.824987774871287,4.4038425647631,"arf-1.1","ADP-Ribosylation Factor related","chrIV:7635156-7635260",191609,0.541566411236035,0.695294079335259,NA,NA,NA,NA,NA,NA,191609,"GO:0005737///GO:0005794///GO:0005886","cytoplasm///Golgi apparatus///plasma membrane","GO:0006886///GO:0015031///GO:0016192///GO:0030968///GO:0036498","intracellular protein transport///protein transport///vesicle-mediated transport///endoplasmic reticulum unfolded protein response///IRE1-mediated unfolded protein response","GO:0000166///GO:0005525","nucleotide binding///GTP binding","arf-1.1"
"A_12_P119731",0.0617702111325642,0.000387476690903321,11.6870553015823,0.818014129249661,4.447488196981,"Y26D4A.21","hypothetical protein","chrI:13101815-13101874",6418607,0.548395790592958,0.693814632341186,NA,NA,NA,NA,NA,NA,6418607,"","","","","","","Y26D4A.21"
"A_12_P115992",0.0617702111325642,0.000397267513987748,11.6094728642544,0.800549422620288,4.49431190086639,"C48B4.7","hypothetical protein","chrIII:9558769-9558710",176350,0.557872707782652,0.690091995684892,NA,NA,NA,NA,NA,NA,176350,"","","","","","","C48B4.7"
"A_12_P137542",0.0617702111325642,0.000411757588218829,11.4989521404489,0.775303846155931,4.37786910147913,"cyp-25A1","CYtochrome P450 family","chrIII:3834041-3834147",183247,0.548641825753078,0.684667103799802,NA,NA,NA,NA,NA,NA,183247,"GO:0016020///GO:0016021","membrane///integral component of membrane","","","GO:0004497///GO:0005506///GO:0016491///GO:0016705///GO:0020037///GO:0046872","monooxygenase activity///iron ion binding///oxidoreductase activity///oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen///heme binding///metal ion binding","cyp-25A1"
"A_12_P135686",0.0617702111325642,0.000417499022723694,11.4565020023283,0.765491195220637,4.30623750825858,"sqv-4","SQuashed Vulva","chrV:10659824-10659765",179484,0.541664472670237,0.682544742646536,NA,NA,NA,NA,NA,NA,179484,"GO:0005634///GO:0005737///GO:0005829","nucleus///cytoplasm///cytosol","GO:0000003///GO:0002009///GO:0006024///GO:0006065///GO:0009792///GO:0018991///GO:0040025","reproduction///morphogenesis of an epithelium///glycosaminoglycan biosynthetic process///UDP-glucuronate biosynthetic process///embryo development ending in birth or egg hatching///oviposition///vulval development","GO:0003979///GO:0016491///GO:0016616///GO:0042802///GO:0051287","UDP-glucose 6-dehydrogenase activity///oxidoreductase activity///oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor///identical protein binding///NAD binding","sqv-4"
"A_12_P111593",0.0617702111325642,0.000420530202603478,11.4343848336362,0.760352855061976,4.62111048413226,"T08E11.8","hypothetical protein","chrII:1833755-1833696",188290,0.582395425043581,0.681430337539226,NA,NA,NA,NA,NA,NA,188290,"","","","","","","T08E11.8"
"A_12_P113401",0.0617702111325642,0.000427643893131082,11.3832556963362,0.748406192824302,4.35227443342751,"swm-1","Sperm activation Without Mating","chrV:9054584-9054475",182893,0.550977911108061,0.678831317440333,NA,NA,NA,NA,NA,NA,182893,"GO:0005576///GO:0005615///GO:0031410///GO:0099503","extracellular region///extracellular space///cytoplasmic vesicle///secretory vesicle","GO:0007283///GO:0007286///GO:0010466///GO:0010951///GO:0030154","spermatogenesis///spermatid development///negative regulation of peptidase activity///negative regulation of endopeptidase activity///cell differentiation","GO:0004867///GO:0030414","serine-type endopeptidase inhibitor activity///peptidase inhibitor activity","swm-1"
"A_12_P153521",0.0617702111325642,0.000435546982101001,11.3276893864227,0.735313970321138,4.45171539887023,"K07A1.1","hypothetical protein","chrI:9582832-9582773",187080,0.566331172881201,0.675970301842616,NA,NA,NA,NA,NA,NA,187080,"GO:0016020///GO:0016021","membrane///integral component of membrane","","","","","K07A1.1"
"A_12_P112446",0.0617702111325642,0.000442062665042796,11.2828206731943,0.724658766662096,4.46384995663719,"E02H4.6","hypothetical protein","chrX:14250708-14250649",183997,0.570133171727408,0.673632083102312,NA,NA,NA,NA,NA,NA,183997,"GO:0005634///GO:0005737","nucleus///cytoplasm","GO:0006468///GO:0006897///GO:0016055///GO:0016310///GO:0018105///GO:0032436///GO:0090263","protein phosphorylation///endocytosis///Wnt signaling pathway///phosphorylation///peptidyl-serine phosphorylation///positive regulation of proteasomal ubiquitin-dependent protein catabolic process///positive regulation of canonical Wnt signaling pathway","GO:0004672///GO:0004674///GO:0005524///GO:0016301","protein kinase activity///protein serine/threonine kinase activity///ATP binding///kinase activity","E02H4.6"
"A_12_P109401",0.0617702111325642,0.000462149866106477,11.1495529509184,0.692564563106162,4.30518518455019,"F55B11.3","hypothetical protein","chrIV:14425414-14425473",178383,0.556440574188034,0.666537183551857,NA,NA,NA,NA,NA,NA,178383,"","","","","","","F55B11.3"
"A_12_P158975",0.0617702111325642,0.000462756969287849,11.1456387719018,0.691611715231134,4.30222595614128,"F41H10.6","hypothetical protein","chrIV:5357406-5357347",177316,0.556253376241844,0.666325364873364,NA,NA,NA,NA,NA,NA,177316,"GO:0005634","nucleus","GO:0006325///GO:0006476///GO:0016575///GO:0070932","chromatin organization///protein deacetylation///histone deacetylation///histone H3 deacetylation","GO:0004407///GO:0008270///GO:0016787///GO:0032041///GO:0033558///GO:0046872","histone deacetylase activity///zinc ion binding///hydrolase activity///NAD-dependent histone deacetylase activity (H3-K14 specific)///protein deacetylase activity///metal ion binding","F41H10.6"
"A_12_P116672",0.0617702111325642,0.000510020622497784,10.8592841201114,0.620277996153239,4.50976684755901,"math-21","MATH (meprin-associated Traf homology) domain containing","chrII:1995587-1995646",183363,0.598462994108217,0.650281771818091,NA,NA,NA,NA,NA,NA,183363,"","","","","","","math-21"
"A_12_P140261",0.0617702111325642,0.000516120038152831,10.824761413108,0.611456912747987,4.09718928093907,"C27H6.3","hypothetical protein","chrV:9982597-9982656",179389,0.545446428430065,0.648273071899426,NA,NA,NA,NA,NA,NA,179389,"","","","","","","C27H6.3"
"A_12_P151301",0.0617702111325642,0.000523221363886033,10.7852067297698,0.601290216807094,4.82050965256549,"C18D11.7","hypothetical protein","chrIII:11804604-11804545",3564800,0.644093461150565,0.645951431994632,NA,NA,NA,NA,NA,NA,3564800,"","","","","","","C18D11.7"
"A_12_P116330",0.0617702111325642,0.00052518347120601,10.7743962593525,0.598500428348022,4.47839854996121,"Y38E10A.14","hypothetical protein","chrV:7569310-7569369",174896,0.598982596346046,0.64531315297645,NA,NA,NA,NA,NA,NA,174896,"","","","","","","Y38E10A.14"
"A_12_P157095",0.0617702111325642,0.000530052824937545,10.7477853146543,0.591612553378963,4.10974259490865,"clec-87","C-type LECtin","chrI:10184716-10184657",172885,0.551036092949831,0.643735054721265,NA,NA,NA,NA,NA,NA,172885,"GO:0005575","cellular_component","GO:0008150","biological_process","GO:0003674///GO:0030246","molecular_function///carbohydrate binding","clec-87"
"A_12_P141395",0.0617702111325642,0.000532162606076214,10.7363503850288,0.588643769335168,4.28728770497926,"air-1","Aurora/Ipl1 Related kinase","chrV:8223153-8223212",179202,0.575453663793863,0.643053902934164,NA,NA,NA,NA,NA,NA,179202,"GO:0000235///GO:0000794///GO:0005813///GO:0005828///GO:0005876///GO:0031616///GO:0032133///GO:0051233","astral microtubule///condensed nuclear chromosome///centrosome///kinetochore microtubule///spindle microtubule///spindle pole centrosome///chromosome passenger complex///spindle midzone","GO:0006468///GO:0007052///GO:0016310///GO:0032465///GO:0035404///GO:0090307///GO:1904781","protein phosphorylation///mitotic spindle organization///phosphorylation///regulation of cytokinesis///histone-serine phosphorylation///mitotic spindle assembly///positive regulation of protein localization to centrosome","GO:0000166///GO:0004672///GO:0004674///GO:0005515///GO:0005524///GO:0016301///GO:0016740///GO:0035174","nucleotide binding///protein kinase activity///protein serine/threonine kinase activity///protein binding///ATP binding///kinase activity///transferase activity///histone serine kinase activity","air-1"
"A_12_P106008",0.0617702111325642,0.000538944732990074,10.69997308448,0.579163145247695,4.12960871414296,"clec-222","C-type LECtin","chrV:11272328-11272387",179560,0.556173927257496,0.640874823343553,NA,NA,NA,NA,NA,NA,179560,"","","","","GO:0030246","carbohydrate binding","clec-222"
"A_12_P107727",0.0617702111325642,0.000538955421318737,10.6999162091282,0.579148279176361,4.01339884392226,"F13D11.4","hypothetical protein","chrX:5832082-5832023",184416,0.54052570501435,0.640871401846381,NA,NA,NA,NA,NA,NA,184416,"","","GO:0006694","steroid biosynthetic process","GO:0003854///GO:0016491///GO:0016616","3-beta-hydroxy-delta5-steroid dehydrogenase activity///oxidoreductase activity///oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","F13D11.4"
"A_12_P111773",0.0617702111325642,0.000545547011638133,10.6651075451443,0.570024541551732,4.22064682391858,"Y37D8A.19","hypothetical protein","chrIII:12931252-12931311",176711,0.570293183892257,0.638768837964542,NA,NA,NA,NA,NA,NA,176711,"","","","","","","Y37D8A.19"
"A_12_P143840",0.0617702111325642,0.000549581161956085,10.6440631706322,0.564483835188076,4.54880097361103,"C30G7.4","hypothetical protein","chrV:14946711-14946652",3564843,0.61584851617183,0.637489377119404,NA,NA,NA,NA,NA,NA,3564843,"GO:0016020///GO:0016021","membrane///integral component of membrane","","","","","C30G7.4"
"A_12_P114080",0.0617702111325642,0.000552549031455823,10.6287043615354,0.560428239385056,4.10648082938733,"spp-21","SaPosin-like Protein family","chrX:11490343-11490402",3565733,0.556767504407754,0.636551620820847,NA,NA,NA,NA,NA,NA,3565733,"","","","","","","spp-21"
"A_12_P108165",0.0617702111325642,0.00055531223982846,10.6144973576451,0.556667873213766,4.22946613268327,"Y43B11AR.1","hypothetical protein","chrIV:7081772-7081960",189846,0.574209701579992,0.63568120044219,NA,NA,NA,NA,NA,NA,189846,"","","","","","","Y43B11AR.1"
"A_12_P115359",0.0617702111325642,0.00055581786414993,10.6119072870084,0.555981398027263,4.02718709286262,"W01A11.1","hypothetical protein","chrV:6502268-6502327",179036,0.546880913753881,0.635522204430803,NA,NA,NA,NA,NA,NA,179036,"GO:0005783///GO:0005789///GO:0016020","endoplasmic reticulum///endoplasmic reticulum membrane///membrane","GO:0019439","aromatic compound catabolic process","GO:0003824///GO:0016787///GO:0033961","catalytic activity///hydrolase activity///cis-stilbene-oxide hydrolase activity","W01A11.1"
"A_12_P116028",0.0617702111325642,0.000560371146443075,10.5887152683428,0.549821813271791,3.98934520292717,"F17E9.4","hypothetical protein","chrIV:8348931-8349038",177630,0.54292864430397,0.63409424933993,NA,NA,NA,NA,NA,NA,177630,"","","","","","","F17E9.4"
"A_12_P113166",0.0617702111325642,0.00056056896323526,10.5877130522413,0.54955511618037,4.05430365067663,"Y49F6C.8","hypothetical protein","chrII:3369347-3369288",190089,0.551821372818406,0.634032368406219,NA,NA,NA,NA,NA,NA,190089,"","","","","","","Y49F6C.8"
"A_12_P119940",0.0617702111325642,0.000567421825670957,10.5532650305456,0.540362065751883,3.94472432228461,"Y73F4A.1","hypothetical protein","chrIV:9044686-9044082",177723,0.538659371844391,0.631896639437409,NA,NA,NA,NA,NA,NA,177723,"GO:0005576","extracellular region","","","","","Y73F4A.1"
"A_12_P161577",0.0617702111325642,0.00057089228828215,10.5360179936395,0.535740217369082,4.17545440962693,"clec-8","C-type LECtin","chrII:12575844-12575785",174893,0.571099328995038,0.630820928514834,NA,NA,NA,NA,NA,NA,174893,"","","","","GO:0030246","carbohydrate binding","clec-8"
"A_12_P131320",0.0617702111325642,0.00057710230774399,10.5054818401749,0.527525606324123,4.05698168496098,"K11H12.11","hypothetical protein","chrIV:669021-668962",4363080,0.55650808495541,0.628905814259544,NA,NA,NA,NA,NA,NA,4363080,"","","","","","","K11H12.11"
